region_id,region_name,avg_inflow,avg_inflow_pop_pct,total_inflow,n_decades
4102,Centro Ocidental Paranaense,27942.275620996952,7.488109858024514,111769.10248398781,4
4103,Norte Central Paranaense,125319.87742775679,7.388691193756148,501279.50971102715,4
4104,Norte Pioneiro Paranaense,28045.536852568388,5.053664036265834,112182.14741027355,4
4105,Centro Oriental Paranaense,34100.172291100025,6.136511944871533,136400.6891644001,4
4106,Oeste Paranaense,84622.00771471858,8.041787441936131,338488.0308588743,4
4107,Sudoeste Paranaense,30122.156731456518,6.0580694920194675,120488.62692582607,4
4108,Centro-Sul Paranaense,34369.45633211732,6.743918684132805,137477.82532846928,4
4109,Sudeste Paranaense,15731.93632376194,4.524206811686634,62927.74529504776,4
4110,Metropolitana de Curitiba,210199.95155662298,8.732387216379689,840799.8062264919,4
4201,Oeste Catarinense,51169.62411528826,4.8407721273874325,204678.49646115303,4
4202,Norte Catarinense,73748.11397492886,8.57126853606734,294992.4558997154,4
4203,Serrana,15928.225304603577,4.1984854573998085,63712.90121841431,4
4204,Vale do Itajaí,86924.884567976,7.686978189743962,347699.538271904,4
4205,Grande Florianópolis,66860.70882895589,9.429405053549795,267442.83531582355,4
4206,Sul Catarinense,31840.708263099194,4.237489815872766,127362.83305239677,4
4301,Noroeste Rio-grandense,52485.68935853243,2.708202887065514,209942.75743412971,4
4302,Nordeste Rio-grandense,52448.448407918215,6.186235962383914,209793.79363167286,4
4303,Centro Ocidental Rio-grandense,26471.162497729063,5.416336649218559,105884.64999091625,4
4304,Centro Oriental Rio-grandense,31683.99513170123,4.633228004464537,126735.98052680492,4
4305,Metropolitana de Porto Alegre,192708.64533686638,5.323998416510823,770834.5813474655,4
4306,Sudoeste Rio-grandense,26746.386280447245,3.930277838712623,106985.54512178898,4
4307,Sudeste Rio-grandense,24394.118636220694,2.9526825553139915,97576.47454488277,4
5001,Pantanais Sul Mato-grossense,14677.827158778906,7.1265389642323385,58711.30863511562,4
5002,Centro Norte de Mato Grosso do Sul,78561.28615874052,12.404801187959311,314245.1446349621,4
5003,Leste de Mato Grosso do Sul,35407.78788781166,12.585164274488509,141631.15155124664,4
5004,Sudoeste de Mato Grosso do Sul,55794.79184836149,8.68690083004249,223179.16739344597,4
5101,Norte Mato-grossense,103754.45811754465,28.013368167814203,415017.8324701786,4
5102,Nordeste Mato-grossense,23790.243514209986,13.967829848881692,95160.97405683994,4
5103,Sudoeste Mato-grossense,29788.664984047413,12.773598438307333,119154.65993618965,4
5104,Centro-Sul Mato-grossense,60545.07273104787,8.558379063647912,242180.29092419147,4
5105,Sudeste Mato-grossense,34170.5459497571,10.703962022162703,136682.1837990284,4
5201,Noroeste Goiano,21258.1737331748,10.142215440669327,85032.6949326992,4
5202,Norte Goiano,25278.40965259075,9.516413487079319,101113.638610363,4
5203,Centro Goiano,178674.67233636975,8.058624258538137,714698.689345479,4
5204,Leste Goiano,120589.56129351258,17.307817706456465,482358.24517405033,4
5205,Sul Goiano,73380.08257690072,7.185497821437417,293520.3303076029,4
5301,Distrito Federal,210937.33332809806,12.921475954111221,843749.3333123922,4
