state,period,group,population,population_thousands,proxy
ES,2000,stayer,2483901.2899158606,2483.9012899158606,Five-year state of residence
GO,2000,immigrant,372652.31649873656,372.6523164987366,Five-year state of residence
GO,2000,emigrant,169894.92443435988,169.8949244343599,Five-year state of residence
GO,2000,stayer,3754999.7338980427,3754.999733898043,Five-year state of residence
MA,2000,immigrant,100810.84101981981,100.8108410198198,Five-year state of residence
MA,2000,emigrant,274454.02115469985,274.45402115469983,Five-year state of residence
MA,2000,stayer,4529416.161127465,4529.416161127465,Five-year state of residence
MG,2000,immigrant,447737.0509707415,447.7370509707415,Five-year state of residence
MG,2000,emigrant,408636.36492469005,408.63636492469004,Five-year state of residence
MG,2000,stayer,14740683.43249033,14740.68343249033,Five-year state of residence
MS,2000,immigrant,97709.18885777082,97.70918885777081,Five-year state of residence
MS,2000,emigrant,108713.31008165996,108.71331008165996,Five-year state of residence
MS,2000,stayer,1621216.2254727702,1621.2162254727702,Five-year state of residence
MT,2000,immigrant,166293.6973847302,166.29369738473022,Five-year state of residence
MT,2000,emigrant,123723.92133784005,123.72392133784004,Five-year state of residence
MT,2000,stayer,1829887.239633577,1829.8872396335769,Five-year state of residence
PA,2000,immigrant,182032.18071989046,182.03218071989045,Five-year state of residence
PA,2000,emigrant,234213.12535571004,234.21312535571005,Five-year state of residence
PA,2000,stayer,4810852.767432785,4810.852767432784,Five-year state of residence
PB,2000,immigrant,102005.1745930493,102.0051745930493,Five-year state of residence
PB,2000,emigrant,163476.60080059,163.47660080059,Five-year state of residence
PB,2000,stayer,2849629.174656764,2849.629174656764,Five-year state of residence
PE,2000,immigrant,164861.96758473088,164.86196758473088,Five-year state of residence
PE,2000,emigrant,280266.8427697198,280.2668427697198,Five-year state of residence
PE,2000,stayer,6565245.890012395,6565.245890012395,Five-year state of residence
PI,2000,immigrant,88739.70962850968,88.73970962850967,Five-year state of residence
PI,2000,emigrant,140772.86872543005,140.77286872543004,Five-year state of residence
PI,2000,stayer,2350788.628830714,2350.788628830714,Five-year state of residence
PR,2000,immigrant,297311.4859190802,297.3114859190802,Five-year state of residence
PR,2000,emigrant,336965.65057595004,336.96565057595006,Five-year state of residence
PR,2000,stayer,7594699.406684281,7594.699406684282,Five-year state of residence
RJ,2000,immigrant,319720.99489568983,319.72099489568984,Five-year state of residence
RJ,2000,emigrant,274199.4337702401,274.1994337702401,Five-year state of residence
RJ,2000,stayer,12253636.257719463,12253.636257719463,Five-year state of residence
RN,2000,immigrant,77916.18813259948,77.91618813259947,Five-year state of residence
RN,2000,emigrant,71286.61859326003,71.28661859326003,Five-year state of residence
RN,2000,stayer,2248536.2409057682,2248.5362409057684,Five-year state of residence
RO,2000,immigrant,83324.82848873989,83.3248284887399,Five-year state of residence
RO,2000,emigrant,72722.01575401996,72.72201575401996,Five-year state of residence
RO,2000,stayer,1013327.3625875785,1013.3273625875785,Five-year state of residence
RR,2000,immigrant,47751.95431600026,47.75195431600026,Five-year state of residence
RR,2000,emigrant,14379.04968379,14.379049683789999,Five-year state of residence
RR,2000,stayer,219448.95020296975,219.44895020296974,Five-year state of residence
RS,2000,immigrant,113378.62587309038,113.37862587309039,Five-year state of residence
RS,2000,emigrant,152879.15534721012,152.87915534721012,Five-year state of residence
RS,2000,stayer,8472177.44029465,8472.17744029465,Five-year state of residence
SC,2000,immigrant,199634.10211681988,199.6341021168199,Five-year state of residence
SC,2000,emigrant,139666.68797630013,139.66668797630012,Five-year state of residence
SC,2000,stayer,4285827.511817583,4285.8275118175825,Five-year state of residence
SE,2000,immigrant,52111.45243702009,52.11145243702009,Five-year state of residence
SE,2000,emigrant,56913.16086995997,56.91316086995997,Five-year state of residence
SE,2000,stayer,1434728.4664380152,1434.7284664380152,Five-year state of residence
