state,period,group,dimension,category,weighted_population,valid_dimension_population,percent
PA,1970,stayer,age,45-54,110684.0,1632107.0,6.781663212032054
PA,1970,stayer,age,55-64,70114.0,1632107.0,4.295919323916875
PA,1970,stayer,age,65+,44397.0,1632107.0,2.7202260636098
PB,1970,immigrant,age,5-14,21073.0,107806.0,19.54714950930375
PB,1970,immigrant,age,15-24,21099.0,107806.0,19.571266905367047
PB,1970,immigrant,age,25-34,17322.0,107806.0,16.067751331094744
PB,1970,immigrant,age,35-44,16252.0,107806.0,15.075227723874367
PB,1970,immigrant,age,45-54,13821.0,107806.0,12.82025119195592
PB,1970,immigrant,age,55-64,9813.0,107806.0,9.102461829582769
PB,1970,immigrant,age,65+,8426.0,107806.0,7.815891508821402
PB,1970,emigrant,age,5-14,64928.0,484105.0,13.411966412245278
PB,1970,emigrant,age,15-24,112924.0,484105.0,23.326344491381
PB,1970,emigrant,age,25-34,110936.0,484105.0,22.91568977804402
PB,1970,emigrant,age,35-44,81813.0,484105.0,16.899846107765878
PB,1970,emigrant,age,45-54,53856.0,484105.0,11.12485927639665
PB,1970,emigrant,age,55-64,32940.0,484105.0,6.804308982555438
PB,1970,emigrant,age,65+,26708.0,484105.0,5.516984951611737
PB,1970,stayer,age,5-14,638096.0,1869742.0,34.127489247179554
PB,1970,stayer,age,15-24,443507.0,1869742.0,23.720224501562246
PB,1970,stayer,age,25-34,253415.0,1869742.0,13.553474222646761
PB,1970,stayer,age,35-44,194223.0,1869742.0,10.387689852396747
PB,1970,stayer,age,45-54,155510.0,1869742.0,8.317190286146431
PB,1970,stayer,age,55-64,100304.0,1869742.0,5.364590408730188
PB,1970,stayer,age,65+,84687.0,1869742.0,4.529341481338067
PE,1970,immigrant,age,5-14,47056.0,265698.0,17.710332783837288
PE,1970,immigrant,age,15-24,56462.0,265698.0,21.250442231405582
PE,1970,immigrant,age,25-34,51409.0,265698.0,19.34865900383142
PE,1970,immigrant,age,35-44,42419.0,265698.0,15.965118292196403
PE,1970,immigrant,age,45-54,32140.0,265698.0,12.09644031946044
PE,1970,immigrant,age,55-64,20324.0,265698.0,7.649286031509458
PE,1970,immigrant,age,65+,15888.0,265698.0,5.979721337759411
PE,1970,emigrant,age,5-14,93645.0,672329.0,13.928448720789971
PE,1970,emigrant,age,15-24,156635.0,672329.0,23.297373756003385
PE,1970,emigrant,age,25-34,151280.0,672329.0,22.500888701811167
PE,1970,emigrant,age,35-44,118268.0,672329.0,17.5907926030262
PE,1970,emigrant,age,45-54,75321.0,672329.0,11.202997342075085
PE,1970,emigrant,age,55-64,45505.0,672329.0,6.768263751823884
PE,1970,emigrant,age,65+,31675.0,672329.0,4.711235124470312
PE,1970,stayer,age,5-14,1377444.0,4048901.0,34.02019461577351
PE,1970,stayer,age,15-24,961088.0,4048901.0,23.73700912914393
PE,1970,stayer,age,25-34,573714.0,4048901.0,14.169622818636464
PE,1970,stayer,age,35-44,446618.0,4048901.0,11.030598179604787
PE,1970,stayer,age,45-54,331222.0,4048901.0,8.1805408430584
PE,1970,stayer,age,55-64,206940.0,4048901.0,5.111016544983441
PE,1970,stayer,age,65+,151875.0,4048901.0,3.7510178687994595
PI,1970,immigrant,age,5-14,19837.0,104535.0,18.976419381068542
PI,1970,immigrant,age,15-24,22765.0,104535.0,21.77739513081743
PI,1970,immigrant,age,25-34,18282.0,104535.0,17.48887932271488
PI,1970,immigrant,age,35-44,16033.0,104535.0,15.337446788157077
PI,1970,immigrant,age,45-54,12335.0,104535.0,11.799875639737888
PI,1970,immigrant,age,55-64,8780.0,104535.0,8.399100779643181
PI,1970,immigrant,age,65+,6503.0,104535.0,6.220882957861003
PI,1970,emigrant,age,5-14,36481.0,259164.0,14.076414934172956
PI,1970,emigrant,age,15-24,65068.0,259164.0,25.106882128690714
PI,1970,emigrant,age,25-34,56609.0,259164.0,21.842925714991278
PI,1970,emigrant,age,35-44,43806.0,259164.0,16.9028105755429
PI,1970,emigrant,age,45-54,27874.0,259164.0,10.75535182355574
PI,1970,emigrant,age,55-64,18396.0,259164.0,7.098208084456174
PI,1970,emigrant,age,65+,10930.0,259164.0,4.2174067385902365
PI,1970,stayer,age,5-14,478476.0,1270982.0,37.646166507472174
PI,1970,stayer,age,15-24,309155.0,1270982.0,24.324105298108076
PI,1970,stayer,age,25-34,177741.0,1270982.0,13.984541087127905
PI,1970,stayer,age,35-44,125270.0,1270982.0,9.85615846644563
PI,1970,stayer,age,45-54,82898.0,1270982.0,6.522358302477927
PI,1970,stayer,age,55-64,57956.0,1270982.0,4.559938693073545
PI,1970,stayer,age,65+,39486.0,1270982.0,3.1067316452947407
PR,1970,immigrant,age,5-14,272823.0,1432863.0,19.040410702209492
PR,1970,immigrant,age,15-24,353799.0,1432863.0,24.691753503300735
PR,1970,immigrant,age,25-34,289725.0,1432863.0,20.220007076740764
PR,1970,immigrant,age,35-44,229659.0,1432863.0,16.027980344247844
PR,1970,immigrant,age,45-54,143812.0,1432863.0,10.03668878322631
PR,1970,immigrant,age,55-64,86840.0,1432863.0,6.060593371452819
PR,1970,immigrant,age,65+,56205.0,1432863.0,3.9225662188220367
PR,1970,emigrant,age,5-14,116864.0,417748.0,27.974759903099475
PR,1970,emigrant,age,15-24,107579.0,417748.0,25.752128077214014
PR,1970,emigrant,age,25-34,75205.0,417748.0,18.002479963997434
PR,1970,emigrant,age,35-44,56355.0,417748.0,13.49019025824181
PR,1970,emigrant,age,45-54,33000.0,417748.0,7.899499219625229
PR,1970,emigrant,age,55-64,18495.0,417748.0,4.427310244453594
PR,1970,emigrant,age,65+,10250.0,417748.0,2.453632333368442
PR,1970,stayer,age,5-14,1703865.0,4290521.0,39.7123099968512
PR,1970,stayer,age,15-24,1038139.0,4290521.0,24.196105787618798
PR,1970,stayer,age,25-34,592075.0,4290521.0,13.799606155056694
PR,1970,stayer,age,35-44,438314.0,4290521.0,10.21586888865012
PR,1970,stayer,age,45-54,269544.0,4290521.0,6.282313966066126
PR,1970,stayer,age,55-64,157501.0,4290521.0,3.670906167339584
PR,1970,stayer,age,65+,91083.0,4290521.0,2.122889038417479
RJ,1970,immigrant,age,5-14,186896.0,1686948.0,11.078942563730477
RJ,1970,immigrant,age,15-24,358931.0,1686948.0,21.27694511034128
RJ,1970,immigrant,age,25-34,365807.0,1686948.0,21.684545107495904
RJ,1970,immigrant,age,35-44,326571.0,1686948.0,19.35868799749607
RJ,1970,immigrant,age,45-54,217438.0,1686948.0,12.889431090940562
RJ,1970,immigrant,age,55-64,135056.0,1686948.0,8.005937349580426
RJ,1970,immigrant,age,65+,96249.0,1686948.0,5.705510780415283
RJ,1970,emigrant,age,5-14,69702.0,351389.0,19.836136020194143
RJ,1970,emigrant,age,15-24,66167.0,351389.0,18.83012843316097
RJ,1970,emigrant,age,25-34,62534.0,351389.0,17.79623152688331
RJ,1970,emigrant,age,35-44,62357.0,351389.0,17.74586000130909
RJ,1970,emigrant,age,45-54,41683.0,351389.0,11.86235198028396
RJ,1970,emigrant,age,55-64,27226.0,351389.0,7.748108221942064
RJ,1970,emigrant,age,65+,21720.0,351389.0,6.181183816226461
RJ,1970,stayer,age,5-14,1954021.0,5989469.0,32.62427771142985
RJ,1970,stayer,age,15-24,1405140.0,5989469.0,23.460176519821708
RJ,1970,stayer,age,25-34,881002.0,5989469.0,14.709183735653362
RJ,1970,stayer,age,35-44,741003.0,5989469.0,12.371764508673474
RJ,1970,stayer,age,45-54,490557.0,5989469.0,8.19032538610685
RJ,1970,stayer,age,55-64,304625.0,5989469.0,5.086010128777693
RJ,1970,stayer,age,65+,213121.0,5989469.0,3.5582620095370725
RN,1970,immigrant,age,5-14,14668.0,83750.0,17.51402985074627
RN,1970,immigrant,age,15-24,16911.0,83750.0,20.19223880597015
